x,y,z,yaw,mps,change_flag
703474.525,5268357.072,0,1.9901379740898941,10,0
703474.118,5268357.985,0,1.9910513167622625,10,0
703473.71,5268358.898,0,1.9897310277348563,10,0
703473.303,5268359.812,0,1.990137974469239,10,0
703472.896,5268360.725,0,1.9897310273562039,10,0
703472.489,5268361.639,0,1.9910513166559787,10,0
703472.081,5268362.552,0,1.990137974469239,10,0
703471.674,5268363.465,0,1.9897310277348563,10,0
703471.267,5268364.379,0,1.9910513162760117,10,0
703470.859,5268365.292,0,1.9897310277348563,10,0
703470.452,5268366.206,0,1.990137974469239,10,0
703470.045,5268367.119,0,1.9906437023210524,10,0
703469.637,5268368.033,0,1.9901379740898941,10,0
703469.23,5268368.946,0,1.990137974469239,10,0
703468.823,5268369.859,0,1.9906437022148462,10,0
703468.415,5268370.773,0,1.990137974469239,10,0
703468.008,5268371.686,0,1.9897310277348563,10,0
703467.601,5268372.6,0,1.9910513163822954,10,0
703467.193,5268373.513,0,1.990137974469239,10,0
703466.786,5268374.426,0,1.9897310277348563,10,0
703466.379,5268375.34,0,1.990137974469239,10,0
703465.972,5268376.253,0,1.990643701835572,10,0
703465.564,5268377.167,0,1.990137974469239,10,0
703465.157,5268378.08,0,1.990137974469239,10,0
703464.75,5268378.993,0,1.9906437023210524,10,0
703464.342,5268379.907,0,1.9901379739835237,10,0
703463.935,5268380.82,0,1.9897310277348563,10,0
703463.528,5268381.734,0,1.9910513167622625,10,0
703463.12,5268382.647,0,1.9897310277348563,10,0
703462.713,5268383.561,0,1.9901379740898941,10,0
703462.306,5268384.474,0,1.9910513166559787,10,0
703461.898,5268385.387,0,1.9897310277348563,10,0
703461.491,5268386.301,0,1.990137974469239,10,0
703461.084,5268387.214,0,1.9897310277348563,10,0
703460.677,5268388.128,0,1.9910513163822954,10,0
703460.269,5268389.041,0,1.990137974469239,10,0
703459.862,5268389.954,0,1.9897310277348563,10,0
703459.455,5268390.868,0,1.9910513162760117,10,0
703459.047,5268391.781,0,1.9897310277348563,10,0
703458.64,5268392.695,0,1.990137974469239,10,0
703458.233,5268393.608,0,1.9906437023210524,10,0
703457.825,5268394.522,0,1.990137974469239,10,0
703457.418,5268395.435,0,1.9901379739835237,10,0
703457.011,5268396.348,0,1.9906437023210524,10,0
703456.603,5268397.262,0,1.990137974469239,10,0
703456.196,5268398.175,0,1.9897310277348563,10,0
703455.789,5268399.089,0,1.9901379740898941,10,0
703455.382,5268400.002,0,1.9910513166559787,10,0
703454.974,5268400.915,0,1.9897310277348563,10,0
703454.567,5268401.829,0,1.990137974469239,10,0
703454.16,5268402.742,0,1.9906437019417782,10,0
703453.752,5268403.656,0,1.990137974469239,10,0
703453.345,5268404.569,0,1.990137974469239,10,0
703452.938,5268405.482,0,1.9906437022148462,10,0
703452.53,5268406.396,0,1.9901379740898941,10,0
703452.123,5268407.309,0,1.9897310277348563,10,0
703451.716,5268408.223,0,1.990137974469239,10,0
703451.309,5268409.136,0,1.9906437023210524,10,0
703450.901,5268410.05,0,1.9901379740898941,10,0
703450.494,5268410.963,0,1.9901379743628687,10,0
703450.087,5268411.876,0,1.9906437023210524,10,0
703449.679,5268412.79,0,1.990137974469239,10,0
703449.272,5268413.703,0,1.9897310277348563,10,0
703448.865,5268414.617,0,1.9910513162760117,10,0
703448.457,5268415.53,0,1.990137974469239,10,0
703448.05,5268416.443,0,1.9897310277348563,10,0
703447.643,5268417.357,0,1.9910513167622625,10,0
703447.235,5268418.27,0,1.9897310273562039,10,0
703446.828,5268419.184,0,1.990137974469239,10,0
703446.421,5268420.097,0,1.9897310277348563,10,0
703446.014,5268421.011,0,1.9910513166559787,10,0
703445.606,5268421.924,0,1.9901379740898941,10,0
703445.199,5268422.837,0,1.9897310277348563,10,0
703444.792,5268423.751,0,1.9910513167622625,10,0
703444.384,5268424.664,0,1.9897310277348563,10,0
703443.977,5268425.578,0,1.9901379740898941,10,0
703443.57,5268426.491,0,1.9910513166559787,10,0
703443.162,5268427.404,0,1.9897310277348563,10,0
703442.755,5268428.318,0,1.990137974469239,10,0
703442.348,5268429.231,0,1.9897310277348563,10,0
703441.941,5268430.145,0,1.9910513162760117,10,0
