Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
6144,47.54033878070887,17.701534012846885,703299.303,5268750.041,703299.303,5268750.041,0,10,0,1.98902065625411
6145,47.54033960617342,17.70153351941824,703299.263,5268750.131,703299.263,5268750.131,0,10,0,1.9941070832114587
6146,47.540340431637965,17.7015330259896,703299.222,5268750.222,703299.222,5268750.222,0,10,0,1.98902065625411
6147,47.54034125710251,17.701532532560957,703299.182,5268750.312,703299.182,5268750.312,0,10,0,1.9890206573342522
6148,47.54034208256706,17.701532039132314,703299.142,5268750.402,703299.142,5268750.402,0,10,0,1.9941070821480382
6149,47.540342908031604,17.70153154570367,703299.101,5268750.493,703299.101,5268750.493,0,10,0,1.9890206573342522
6150,47.54034373349615,17.70153105227503,703299.061,5268750.583,703299.061,5268750.583,0,10,0,1.98493487755387
6151,47.5403445589607,17.701530558846386,703299.021,5268750.674,703299.021,5268750.674,0,10,0,1.998260636239465
6152,47.540345384425244,17.701530065417742,703298.98,5268750.764,703298.98,5268750.764,0,10,0,1.98493487755387
6153,47.54034620988979,17.7015295719891,703298.94,5268750.855,703298.94,5268750.855,0,10,0,1.98902065625411
6154,47.54034703535434,17.701529078560455,703298.9,5268750.945,703298.9,5268750.945,0,10,0,1.9941070821480382
6155,47.54034786081888,17.701528585131815,703298.859,5268751.036,703298.859,5268751.036,0,10,0,1.9890206573342522
6156,47.54034868628343,17.70152809170317,703298.819,5268751.126,703298.819,5268751.126,0,10,0,1.9890206573342522
6157,47.540349511747976,17.701527598274527,703298.779,5268751.216,703298.779,5268751.216,0,10,0,1.98493487755387
6158,47.54035033721252,17.701527104845884,703298.739,5268751.307,703298.739,5268751.307,0,10,0,1.9982606401433833
6159,47.54035116267707,17.701526611417243,703298.698,5268751.397,703298.698,5268751.397,0,10,0,1.984934876481732
6160,47.540351988141616,17.7015261179886,703298.658,5268751.488,703298.658,5268751.488,0,10,0,1.9890206573342522
6161,47.54035281360616,17.701525624559956,703298.618,5268751.578,703298.618,5268751.578,0,10,0,1.9941070821480382
6162,47.5403536390707,17.701525131131312,703298.577,5268751.669,703298.577,5268751.669,0,10,0,1.9890206573342522
6163,47.54035446453525,17.701524637702672,703298.537,5268751.759,703298.537,5268751.759,0,10,0,1.9890206534937467
6164,47.540355289999795,17.70152414427403,703298.497,5268751.849,703298.497,5268751.849,0,10,0,1.9941070821480382
6165,47.54035611546434,17.701523650845385,703298.456,5268751.94,703298.456,5268751.94,0,10,0,1.9890206573342522
6166,47.54035694092889,17.70152315741674,703298.416,5268752.03,703298.416,5268752.03,0,10,0,1.984934876481732
6167,47.540357766393434,17.7015226639881,703298.376,5268752.121,703298.376,5268752.121,0,10,0,1.9982606412145805
6168,47.54035859185798,17.701522170559457,703298.335,5268752.211,703298.335,5268752.211,0,10,0,1.984934876481732
6169,47.54035941732253,17.701521677130813,703298.295,5268752.302,703298.295,5268752.302,0,10,0,1.9890206573342522
6170,47.540360242787074,17.70152118370217,703298.255,5268752.392,703298.255,5268752.392,0,10,0,1.9941070821480382
6171,47.54036106825162,17.70152069027353,703298.214,5268752.483,703298.214,5268752.483,0,10,0,1.9890206573342522
6172,47.54036189371617,17.701520196844886,703298.174,5268752.573,703298.174,5268752.573,0,10,0,1.9890206573342522
6173,47.54036271918071,17.701519703416242,703298.134,5268752.663,703298.134,5268752.663,0,10,0,1.9941070821480382
6174,47.54036354464526,17.701519209987598,703298.093,5268752.754,703298.093,5268752.754,0,10,0,1.9890206573342522
6175,47.540364370109806,17.701518716558958,703298.053,5268752.844,703298.053,5268752.844,0,10,0,1.984934876481732
6176,47.54036519557435,17.701518223130314,703298.013,5268752.935,703298.013,5268752.935,0,10,0,1.9982606373106622
6177,47.5403660210389,17.70151772970167,703297.972,5268753.025,703297.972,5268753.025,0,10,0,1.984934876481732
6178,47.540366846503446,17.701517236273027,703297.932,5268753.116,703297.932,5268753.116,0,10,0,1.9890206573342522
6179,47.54036767196799,17.701516742844387,703297.892,5268753.206,703297.892,5268753.206,0,10,0,1.9982606401433833
6180,47.54036849743254,17.701516249415743,703297.851,5268753.296,703297.851,5268753.296,0,10,0,1.98493487755387
6181,47.540369322897085,17.7015157559871,703297.811,5268753.387,703297.811,5268753.387,0,10,0,1.9890206573342522
6182,47.54037014836163,17.701515262558456,703297.771,5268753.477,703297.771,5268753.477,0,10,0,1.9941070821480382
